topic_id,number_of_words_in_topic
26799,"Chinese, the",2
6492,Silent Hill 3,3
14104,"Kohut, Heinz",2
5828,Locke -- John,2
25906,colonies -- Carolina and Locke,4
2242,Gulf War,2
9488,YouTube.com,1
2113,Actor-network theory -- Cf. network-society theory (Castells),8
871,racism,1
8392,New York Times Company,4
38397,Race and ethnicity,3
36764,"West, Cornel -- Race Matters",4
360,Switzerland,1
362,telecommunications -- and mobile telephony,4
361,telecommunications,1
3310,Centers for Disease Control (CDC),5
33656,National AIDS Clearinghouse,3
286,Information and communication technologies (ICTs),5
5311,Yeesha,1
46013,vicarious causation: Harman's concept of,5
19678,Vera (Lermontov),2
1578,"Yamanaka, Hiroshi",2
39363,Autobiography -- of Malcolm X,4
10758,Youth and Participatory Politics Network,5
46116,Youth and Participatory Politics Network -- Youth,6
28273,"Valéry, Paul -- Young Fate, The",5
18096,Samuel,1
34230,"Melville, Herman -- Moby Dick",4
35866,"Billy Budd, Sailor (Melville)",4
15534,"Melville, Herman",2
10853,"Big Disconnect, The: Protecting Childhood and Family Relationships in the Digital Age (Steiner-Adair)",14
1062,Big Brother,2
31592,"""Big Bertha Stories"" (Mason)",4
33125,"Bickel, Alexander M.",3
27822,"""Bibliographic Essay"" (Hugnet)",3
29564,Biblical references -- Rich Man and Lazarus,6
46115,Riches,1
21856,"Rich, Adrienne",2
7167,"Luke, A.",2
12258,Jobs,1
30298,Bible -- in William Lloyd Garrison's rhetoric,6
30299,Bible -- in Phillips's rhetoric,4
46094,Author! Author!,2
27242,"Bharati, A.",2
10852,"Bhabha, Homi",2
30088,"Tolstoy, Leo -- Resurrection",3
19649,"Tolstoy, Count Leo",3
16870,"Freud, Sigmund -- Beyond the Pleasure Principle",6
31590,Beyond Peace (Nixon),3
25929,Mary I,2
14608,"Bérubé, Michael -- Public Access: Literary Theory and American Cultural Politics (1994)",11
45441,"Bersuire, Pierre: Ovidius Moralizatus",4
5332,Berserk,1
10851,"Bernstein, Basil",2
38594,"Bernhard, Sandra",2
9532,"Berners-Lee, Tim",3
35836,That Certain Summer,3
2010,"Berlin, Germany",2
17922,Isaiah,1
4071,"Reagan, President Ronald",3
12606,"Nixon, Richard M. -- basic public dilemma of",7
13345,"Nixon, Richard M.",3
35340,"Ford, Gerald",2
24239,Ford Administration,2
9638,Ford Motor Company,3
17623,"Roosevelt, Franklin Delano",3
34474,Basic public dilemma -- Clinton's strengths and,6
3638,"James, Anthony",2
11454,"Ling, R.",2
35251,"Berger, Peter L.",3
36107,Berger and Luckman,3
17197,"This, Bernard",2
21322,"Berceuse, La (painting)",3
27650,"Stengers, Isabelle",2
10850,"Bennett, Tony",2
46057,"King, K.",2
35247,"Bell, A. P.",3
23335,"Brandeis, Justice Louis D.",4
5339,Cacodemon,1
6083,"Bennett, Jane",2
27239,"Bennett, A. A.",3
2134,blockbusters,1
44532,Bombay,1
44675,Mumbai -- politics,2
44687,Navi Mumbai (New Bombay),4
9538,Blogosphere,1
38602,"Brown, Rita Mae",3
9537,Blogger,1
30,blogs,1
44537,Bombay Improvement Trust (BIT),4
8088,Bits,1
11348,James I,2
16107,Multiracials -- pervasiveness within African-American community,6
14626,California Board of Regents,4
30341,"Calhoun, John C., Phillips's grudging admiration of",7
10868,"Calhoun, C.",2
26329,"Calabresi, Guido",2
12064,"Caine Mutiny, The (Wouk)",4
25672,Caesaropapism -- and Luther,3
1603,"Cadello, James P.",3
445,Tulane University -- Community Action Caucus of Tulane University Students (CACTUS),10
31598,Black Cactus,2
36724,"Stowe, Harriet Beecher -- Uncle Tom's Cabin",6
9530,"Benkler, Yochai",2
38591,"Benkert, K. M.",3
44527,"Benjamin, Solomon",2
32228,"Benjamin, Daniel",2
3222,"Ben, James",2
6081,"Beniger, James",2
13976,"Benedict, Ruth",2
31587,"Belsey, Catherine",2
39373,"Bell, Derrick -- and Clarence Thomas",5
5561,"Bell, Derrick",2
6080,"Bell, Daniel",2
36810,"Bell Curve, The -- on gender",5
36809,"Bell Curve, The",3
36568,Muslims,1
5560,"Bell, Bernard",2
6555,"Bell, Alice, ""Ontological Boundaries and Methodological Leaps""",7
686,Louisiana Educational Assessment Program (LEAP),5
30289,"Bellah, Robert N.",3
41383,Belgrade,1
27816,"Gramont, Elisabeth de -- ""Belated Gift of Flowers, The""",8
21317,Being -- spontaneous-creative fullness of,5
21321,Beings-in-the-world,4
44099,Being and Time (Sein und Zeit) (Heidegger),7
1951,Intellectual Property Rights (IPR),4
1949,International Olympic Committee (IOC),4
46112,Liu Qi,2
1822,Beijing Organizing Committee for the Games of the XXIX Olympiad (BOCOG),11
1820,Beijing Olympic Bid Committee (BOBICO),5
29553,"Behan, Brendan -- Borstal Boy",4
29551,"Gay, John: The Beggar's Opera",5
29550,"Brown, Rosellen: Before and After",5
45436,becoming -- Meillassoux's concept of,4
45435,becoming -- Deleuze's concept of,4
45427,"Beck, David: MVSEVM",3
35244,"Beauvoir, Simone de",3
31583,"Beauty Myth, The (Wolf)",4
1282,Japan -- television,2
1281,Japan -- representations of beauty,4
1280,Japan -- relationship to U.S.,4
1279,Japan -- relationship to gaijin,4
1277,Japan -- relationship to China,4
1276,Japan -- race issues,3
1275,Japan -- media consumption,3
1274,Japan -- Japan / France / U.S. triad,5
1273,Japan -- economics,2
1272,"Japan -- cultural influence abroad (""Japanization"")",5
1271,Japan -- cultural identity and nationalism,5
1270,Japan -- colonialist and imperialist past,5
1267,Japan -- Caucasian media presence,4
1283,Japan -- and the West,4
1406,Japan,1
36807,"Bean, Robert Bennett",3
36804,"Beale, Howard K.",3
42529,"Beale, Frances",2
12052,"Beach, Joseph Warren",3
7516,B & C (British and Colonial Kinematograph Company),7
46111,b-boying/b-boy dance style -- b-boys,8
42081,b-boying/b-boy dance style,6
8089,Blackberry,1
26323,Bayesian,1
9691,Hillel the Elder,3
6079,"Baudrillard, Jean",2
27813,"Baudelaire, Charles -- Wreckage, The",4
27812,"Baudelaire, Charles -- Works: Flowers of Evil, The",7
40132,Women -- battered woman syndrome,4
13279,"McCarthy, Joseph",2
14286,"Bascom, William R.",3
16867,"Basch, Michael",2
31177,"Bartlett, Katharine",2
1333,Lost,1
12049,"Barth, John: analysis of The End of the Road",9
35242,"Barthes, Roland",2
29584,Bonnie and Clyde (Penn),4
8703,Coalition of Humanities and Arts Infrastructures and Networks (CHAIN),9
27776,"Barney, Natalie Clifford",3
38587,"Barnett, E.",2
12599,Barnes Hospital (St. Louis),4
27760,"Barnes, Djuna -- Works: Book, A",5
27770,"Barnes, Djuna -- Spillway",3
27769,"Barnes, Djuna -- Ryder",3
27768,"Barnes, Djuna -- ""Passion, The""",4
27767,"Barnes, Djuna -- ""Paradise""",3
27766,"Barnes, Djuna -- Nightwood",3
27765,"Barnes, Djuna -- Ladies Almanack",4
27764,"Barnes, Djuna -- ""Fragment of a Portrait""",6
27763,"Barnes, Djuna -- ""Finis""",3
12047,Bargains with Fate: Psychological Crises and Conflicts in Shakespeare and His Plays (Paris),13
17267,Bargaining,1
1101,Clémentine,1
5555,Barbershop,1
35060,"Barber, James David",3
33860,"Baraka, Amiri",2
19760,Bar admission -- of John Jay,5
46052,Admission to the legal bar,5
1974,"Tze-tung, Mao",3
29545,"Bao, Ruo-Wang: Prisoner of Mao",6
27233,Bantus,1
21508,Eve,1
32222,Bank of New England,4
32221,Banking crisis (1930-33),4
18993,bathhouse,1
19247,Kamenskii -- Z. A.,3
19676,"""venik""",1
29539,"Hobsbawm, Eric J. -- Bandits",4
29536,Bandit -- noble,2
12046,"Balzac, Honoré de",3
27757,"Balzac, Honoré de -- Séraphita",4
29532,"Maupassant, Guy de: Ball-of-Fat",6
27756,Ballet mécanique (Anthiel),3
27755,"Wilde, Oscar -- Ballad of Reading Gaol, The",7
31999,Roots (Haley),2
13969,"Balint, Michael",2
35237,"Baldwin, James",2
23312,"Balaban, Meir",2
26764,Bakke,1
20595,Regents of the University of California v. Bakke,8
1591,"Bakhtin, Mikhail",2
20634,"Baker, James A. III",4
5552,"Baker, Houston A., Jr.",4
15932,"Baehr v. Lewin, 852 P.2d 44 (Hawaii 1993)",8
27754,"Rouveyre, André -- Works: ""Bad Literary News""",6
22349,"Bacon, Francis",2
21297,Babies -- Dickens's attitude toward,4
1042,Babar,1
17754,Azariah de Rossi,3
8626,"Bal, Mieke",2
3199,"Babcock, Cathy",2
7560,"Conrad, Joseph",2
12045,Axel Heyst (Victory),3
21295,"Awkward Age, The (James)",4
46109,awards -- DOOM II,3
46108,awards --  DOOM,2
5328,awards -- Wolfenstein,2
46110,awards,1
5329,balance,1
12043,"Awakening, The (Chopin) -- analysis of",5
12105,"Chopin, Kate",2
41014,"Averill, James",2
17941,Kant -- Immanuel,2
45891,human,1
14841,Autobiography of an Ex-Colored Man (J. W. Johnson),9
2498,authors -- first-time authors,4
2519,authors -- and timing of publication,5
12034,Author -- implied,2
46087,As-if personality,3
12038,Authorial personality -- Horneyan approach to,5
43081,"Geiger, H. Jack -- Levy debate",5
28632,"Bristow, Edward",2
28622,"Berman, Morris",2
3784,"Baldwin, MI",2
16665,Rilke's writings -- In Celebration of Myself (Mir zur Feier),9
16664,"Rilke's writings -- ""Improvisations out of the Caprisian Winter"" (Improvisationen aus dem Capreser Winter"")",13
16663,"Rilke's writings -- ""From a Stormy Night"" (""Aus einer Sturmnacht"")",9
16662,"Rilke's writings -- ""Five Hymns"" (Fünf Gesänge"")",6
16661,Rilke's writings -- Ewald Tragy,4
16659,Rilke's writings -- Duino Elegies (Duineser Elegien),6
16658,Rilke's writings -- Dream-Crowned (Traumgekront),5
16657,"Rilke's writings -- ""Dolls"" ""(Puppen"")",4
16656,Rilke's writings -- Diaries (Tagebücher aus der Frühzeit),7
16655,"Rilke's writings -- ""Departure of the Prodigal Son, The"" (""Der Auszug des verlorenen Sohnes"")",13
16654,"Rilke's writings -- ""Death of the Poet, The"" (""Der Tod des Dichters"")",11
16653,"Rilke's writings -- ""David Sings before Saul"" (""David singt vor Saul"")",10
16651,"Rilke's writings -- Book of Images, The (Das Buch der Bilder)",10
16650,"Rilke's writings -- ""As long as you catch what you yourself have thrown ..."" (""Solang du Selbstgeworfnes fángst... "")",16
46079,F.E.A.R.,1
1233,hip-hop -- authenticity and,4
42069,authenticity and hip-hop -- blackness and,6
18239,Austro-Hungarian monarchy,3
8060,"Baghdad, Iraq",2
931,"Austin, Texas",2
7487,"Austen, Jane -- Sense and Sensibility",5
27752,"Valéry, Paul -- Aurore",3
27750,Mme Antoinette Gabrielle Mortier de Faucamberge,6
43879,Aunt Peggy (character in Conjure Tales) -- mediating natural forces,9
25644,"Augustine, St. -- and Luther",4
30275,"Augustine, Saint",2
17953,"Krochmal, Nachman",2
21287,Audience (Dickens's),2
46104,"Attractions, sexual or romantic -- same-sex versus other-sex",9
40207,"Attitude, positive",2
21286,At the Back of the North Wind (MacDonald),8
15501,"Klein, M. -- contributions to object relations theory",7
2480,Atlantic Monthly,2
3195,"Atlanta, GA",2
1797,Atlanta 1996,2
4411,Atlanta Constitution,2
1798,Atlanta 1996 -- and Nonaccredited Media Centers,6
2002,Nonaccredited Media Centers (NAMCs),4
7484,Atalanta,1
20255,Compensation -- expectations and,3
29528,"Goffman, Erving: Asylums",3
27749,"Louÿs, Pierre -- Astarté",3
12308,Mimesis -- as subversive force,4
18443,Expulsion of Jews -- public and,5
18442,Expulsion of Jews -- priesthood and,5
18441,Expulsion of Jews -- Kallay proposal for,6
18440,Expulsion of Jews -- Jews trapped in Budapest,7
18439,Expulsion of Jews -- Hungarians/Germans in carrying out,8
18438,Expulsion of Jews -- conversion as attempt to avoid,8
18437,Expulsion of Jews,3
18444,Expulsion of Jews -- Shepherds' Epistles regarding,6
18821,Shepherds' Epistles,2
18823,Shepherds' Epistles -- regarding expulsion of Jews,6
18825,Shepherds' Epistles -- of Shvoy,4
18824,Shepherds' Epistles -- of Kapi,4
24048,Association for Union Democracy (AUD) -- letter to members of Congress,10
8742,Computers and the Humanities,4
26761,Assimilationists,1
15553,Assimilation,1
46103,Other -- assimilation of,3
46102,Biopsychosocial/spiritual model,3
33424,Biopsychosocial/spiritual model -- history of,5
33423,Biopsychosocial/spiritual model -- definition of terms,6
33422,Biopsychosocial/spiritual model -- assessment outline,5
33425,Biopsychosocial/spiritual model -- as metamodel,5
33421,"Biopsychosocial/spiritual model, for understanding HIV/AIDS",7
41909,assessment -- NCLB,2
42025,NCLB (No Child Left Behind),5
44199,"Laveau, Marie",2
2124,Asia -- Southeast Asia,3
2123,Asia -- South Asia,3
26750,Asian,1
36798,"Ashley, James M.",3
3194,"Asheville, NC",2
842,North Carolina,2
7040,"""experts,"" students as",3
20622,Association of South-East Asian Nations (ASEAN),7
6367,"Barlow, Sam",2
16263,Art -- Rilke's contrast between sculpture and writing,7
16262,Art -- Rilke's conception of genius,5
16260,Art -- portraits of Parisian figures in Rilke's letters,8
7598,"Dickens, Charles",2
21282,Art of Dickens -- driven by his psychic needs,8
21284,Art of Dickens -- and life,5
21281,Art of Dickens,3
16273,"Artist, Rilke's conception of",4
29711,"Dickens, Charles -- Little Dorrit",4
21285,"Artistic failure, in Little Dorrit",5
2776,"Chicago, IL",2
27748,"Wickham, Anna -- Works: ""Artificiality""",4
27747,"Poe, Edgar Allan -- Works: Arthur Gordon Pym",7
16254,Art -- fragmentary form in Picasso and Joyce,7
16252,Art -- corrupted forms of writing in Rilke's view,8
44331,"Poe, Edgar Allan",3
3192,"Arnold, Bernard",2
16245,"Arnim, Elisabeth (Bettina) von",4
405,U.S. Army Corps of Engineers,5
406,Aspen Institute,2
36797,"Armstrong, Samuel C.",3
9520,"Armstrong, Jerome",2
41373,Arms embargo -- Dole-Lieberman bill to end,7
32928,"Lieberman, Sen. Joseph",3
12945,"Dole, Senator Robert",3
31571,"Armies of the Night, The (Mailer)",6
26474,"Eliot, George, writings -- ""Armgart""",4
36796,"Arlitt, Ada Hart",3
41742,"Ražnatović, Željko -- as ""Arkan""",4
8611,Arizona State University: Digital Humanities Seed Lab,7
46078,Different voice,2
17750,Aristotelianism,1
15335,Aristotle,1
16243,Aristocracy -- myth of aristocratic Rilkes,5
35056,"Aristide, Jean Bertrand",3
45408,"Ariès, Phillippe",2
36205,Ariel,1
6073,archives -- electronic,2
8609,"archaeology, digital.",2
9036,"Kansa, Eric C., Archaeology 2.0",5
17481,Labor Management Relations Act (LMRA),5
17547,National Labor Relations Board (NLRB),5
17546,Wagner Act National Labor Relations Board,6
39953,"Hughes, Langston -- ""Raisin in the Sun""",6
25639,"Aquinas, St. Thomas -- types of law",6
25637,"Aquinas, St. Thomas -- and Luther",5
8607,"Aquinas, Saint Thomas",3
5542,Appropriation,1
5323,Apple II computer,3
8051,Apple,1
36795,"Appiah, Kwame Anthony",3
27744,"Loy, Mina -- Works: ""Apology of Genius""",6
5322,Apogee,1
9516,Application programming interface (API),4
27742,"Louÿs, Pierre -- Works: Aphrodite",4
5569,Blues,1
33909,Blues People,2
3847,New York State,3
2472,"American Psychological Association (APA), APA Handbook",6
8057,Associated Press (AP),3
8605,Association of Internet Researchers (AoIR),5
31568,"Anxious Years, The (McQuaid)",4
24855,"""Freud's Psychoanalytic Procedure"" (Lowenfeld)",4
14034,"Freud, Sigmund",2
24669,Anxiety -- Freud's beliefs regarding,4
12022,"Shakespeare, works of -- Antony and Cleopatra",6
36694,"Shakespeare, works of -- The Merchant of Venice",7
12019,Antonio (Merchant of Venice),4
23446,Get,1
46097,Academy,1
2668,economists,1
20752,Economist -- on tourism,3
46096,Economist magazine,2
27728,"Barnes, Djuna -- ""Aller et Retour""",5
29510,"Alexander, Franz, and William Healy: Roots of Crime: Psychoanalytic Studies",10
28581,"AIDS Action (England), proprostitution-lobby newsletter",6
29209,Pro-prostitution,2
27726,"Barney, Natalie Clifford -- Works: Adventures of the Mind",8
38761,Adventures of Ozzie and Harriet,5
24637,"""Adolescence and the Doldrums"" (Winnicott)",5
26461,"Eliot, George, writings -- ""Address to Working Men""",7
3421,Different Directions,2
2449,"Abrams, M. H.: The Norton Anthology of English Literature",9
42501,Women Striking for Peace (WSP),5
43744,white activists,2
42494,anti-war movement,3
12576,Anti-war activists,3
18218,Thirties (1930s) -- popular antisemitism,4
18630,Battalions Act,2
18631,"Lehar, Antal",2
25633,antisemitism -- and Williams,3
25632,antisemitism -- and Tennent,3
18220,Antisemitism -- and readiness of Hungarians to expel the Jews,9
25626,antisemitism -- and Luther,3
25625,antisemitism -- and Locke,3
25621,antisemitism -- and Hobbes,3
25620,antisemitism -- and Gregory I,4
25618,antisemitism -- and Edwards,3
25615,antisemitism -- and civic humanists,4
25612,antisemitism -- and Calvin,3
25610,antisemitism -- and Aquinas,3
25634,antisemitism -- after World War II,5
41557,Genocide -- European state policy in World War II,8
3130,World War One,3
3131,World War II,3
23303,anti-Semitism,2
18201,"Antisemitic activity, organized",3
33403,Anti-retrovirals,2
33113,"Anti-positivism, in law",4
2471,anti-plagiarism,2
27741,"Barnes, Djuna -- Antiphon",3
42489,anti-metropolitanism,2
18975,anti-masochism,2
18200,Anti-Jewish triangle (regime/church/people),6
18198,Anti-Jewish legislation -- Teleki and,5
18628,Legislature,1
18629,Legislature -- and Labor,3
18627,"Legislation, discriminatory",2
12017,Sophocles -- Antigone,2
42488,Anti-feminism,2
22318,Anti-Federalists,2
32650,Anti-discrimination laws,3
14591,Anti-Defamation League (of B'nai B'rith),6
18187,Anti-Communist Committee,3
30539,"Forster, Arnold, on John Birch Society",6
43117,Los Angeles Police Department (LAPD) -- John Birch Society in,9
30691,John Birch Society,3
30737,"Lipset, Seymour Martin, on John Birch Society",7
43868,"anthropology, pre-Boasian",3
27219,Anthropology -- approximate nature of knowledge in,6
27216,Anthropological informants,2
27214,Anthropological examples,2
27215,Anthropological fieldwork,2
1039,"Cameron, James, Avatar",3
2140,"Cameron, James",2
43871,anthropocentrism -- in the film Avatar,5
18101,Schelling -- Friedrich Wilhelm Joseph von,5
43872,anthropocentrism -- in Heidegger (criticism),4
43870,anthropocentrism -- in Adams,3
2469,plagiarism -- anthological,2
44793,An Sŏk-yŏng,3
3183,"Ansik, Mihal",2
37273,anorexia nervosa,2
37267,Anonymity -- defense of author's,4
44219,"McAdoo, Mars Dugal (character in Conjure Tales)",7
44185,Julius (character in Conjure Tales),5
44180,John (character in Conjure Tales),5
44104,"Henry (character in Conjure Tales), seasonal metamorphosis of",8
43916,"Chesnutt, Charles -- conjure tales",4
44288,Aunt Peggy (character in Conjure Tales),6
43878,Aunt Peggy (character in Conjure Tales) -- her power compared with McAdoo's,11
43867,Annie (character in Conjure Tales),5
43948,"Conjure Woman and Other Conjure Tales, The (Chesnutt)",8
27739,"Valéry, Paul -- Works: Anne",4
12015,Anne Elliot (Persuasion),3
45396,animals -- participative nature and,4
21279,Anima,1
27737,"Vigny, Alfred de -- Works: ""Anger of Samson, The""",8
30251,Angels in America,3
16214,Angels,1
38771,And We Are Not Saved: The Elusive Quest for Racial Justice (Bell),12
46093,Christian party -- and Synod of Bishops,6
14647,"Debs, Eugene",2
16232,"Andreas-Salomé, Lou (Luise) -- Rilke's pain at separation from",9
16230,"Andreas-Salomé, Lou (Luise) -- Rilke's letters to",7
16270,"Rodin, Auguste",2
16229,"Andreas-Salomé, Lou (Luise) -- on Rilke's growth as an artist",10
16226,"Andreas-Salomé, Lou (Luise) -- oedipal dimension of Rilke's relationship with",10
16235,"Andreas-Salomé, Lou (Luise) -- as a source of Rilke's sense of his own reality",14
16231,"Andreas-Salomé, Lou (Luise) -- and Rilke's need of mothering",9
16228,"Andreas-Salomé, Lou (Luise) -- and Rilke's fear of a devouring mother",11
28123,"Rilke, Rainier Maria",3
16225,"Andreas-Salomé, Lou (Luise) -- and Nietzsche",6
17073,"Jones, Ernest -- and Ferenczi",4
46092,"Ferenczi, Sandor",2
32212,"Anderson, Benjamin",2
4390,"Anderson, IN",2
9508,"Anderson, Bonnie S.",3
14272,"Andersen, Hans Christian",3
26507,Depression -- and Eliot's mother,4
46091,With Wings: An Anthology of Literature by and about Women with Disabilities,12
46090,An Chong-hwa,3
44790,Chŏng Chong-hwa,3
20215,"Anarchy, State and Utopia (Nozick)",5
24662,Analytic patients,2
12565,Analytic,1
24660,Analysts -- use of abstinence by,5
24647,Analysts,1
12375,Analysis,1
12133,Characters analyzed at length -- Edna Pontellier in The Awakening,9
12132,Detached (resigned) solution -- examples of in literature,7
12088,Characters analyzed at length -- Elizabeth-Jane in The Mayor of Casterbridge,11
12025,Arrogant-vindictive (aggressive) solution -- examples of in literature,8
12101,Characters analyzed at length -- Shylock in The Merchant of Venice,10
12098,Characters analyzed at length -- Pip in Great Expectations,8
12302,Characters analyzed at length -- Michael Henchard in The Mayor of Casterbridge,11
12092,Characters analyzed at length -- Hedda Gabler,6
12026,analyses of Catherine Earnshaw,4
12351,"Perfectionistic solution -- examples of, in literature",6
12397,Characters analyzed at length -- Antonio in The Merchant of Venice;,10
3176,"Anadon, Pilar",2
30249,Amos,1
41364,Amnesty International -- reports of Yugoslavian war killings,7
3038,"Shakespeare, William",2
12425,"Shakespeare, works of -- A Midsummer Night's Dream",7
23299,American Zionist Emergency Council,4
23862,"American Voter, The (Campbell et al.)",6
13999,"Campbell, Angus",2
43864,American transcendentalism,2
19751,American Revolution -- role of James Iredell in,7
2822,"King, Martin Luther, Jr.",4
30244,"American Revolution -- contrasted with Martin Luther King, Jr.",8
30245,American Revolution -- contrasted with Joe McCarthy,6
14090,"Kaplan, Abraham",2
36196,American Historical Association (AHA),4
23293,American Jewish Congress,3
9993,American Broadcasting Company,3
31549,American Blood (Nicholls),3
25583,American Bar Association (ABA),4
14619,"Buchanan, Patrick",2
26739,American -- as defined by Buchanan and Duke,7
26738,American,1
31548,America in Vietnam (Lewy),4
31547,America in Our Time (Hodgson),5
20617,America-bashing,2
12014,Amelia Sedley (Vanity Fair),4
1789,Ambush marketing,2
13787,Relationship(s),1
46088,Relationship(s) -- with others,3
12538,Ambition -- Kohut's theory and,4
12528,Ambition -- Clinton draft controversy as an issue of,8
12494,Ambition,1
12958,Early family experiences,3
32,Caesar,1
8366,Page One,2
8044,"Kindle, digital book reader by Amazon",6
2458,Amazon.com,1
27919,"Barney, Natalie Clifford -- Further Thoughts of an Amazon",8
28066,"Barney, Natalie Clifford -- New Thoughts of an Amazon",8
28199,"Barney, Natalie Clifford -- Thoughts of an Amazon",7
28002,"Gourmont, Remy de -- Letters to the Amazon",7
27962,"Gourmont, Remy de -- Intimate Letters to the Amazon",8
27971,"Jay, Karla -- Amazon and the Page, The",7
27788,"Barney, Natalie Clifford -- ""Amazon's Reply, The""",6
12751,Ideals,1
22944,Personality; altruistic,2
22938,Altruism -- heroic,2
30235,"Altgeld, John Peter, Debs compared to",6
14834,"Alphabet Man, The (Grossman)",4
6852,"Turkle, Sherry",2
10813,Alone Together (Turkle),3
6361,Alone in the Dark: The New Nightmare,7
27729,"Gramont, Elisabeth de -- Works: Almanac of Good Things of France",10
29511,"Warren, Robert Penn: All the King's Men",7
13965,"Allport, Gordon",2
1026,Allons Chanter avec Mickey,4
13964,"Allison, Graham T.",3
38581,"Allen, Vernon L.",3
3166,"Allentown, PA",2
25959,Pennsylvania,1
35232,"Allen, Robert C.",3
8589,Association for Literary and Linguistic Computing (ALLC),7
35231,"Alioto, Joseph Lawrence",3
120,modding,1
5317,Aliens (James Cameron movie),4
19744,Alien and Sedition Acts -- and James Iredell,7
30234,"Algren, Nelson, on Debs",4
6069,Alexandrian Library,2
17744,Alexandria,1
17743,Alexandra Salome,2
3162,"Alexander, William (Buzz) -- ""For Mike, Because You Asked""",8
3161,"Alexander, William (Buzz) -- Film on the Left: American Documentary Film from 1931 to 1942",14
3918,PCAP Associates Newsletter,3
3949,Prison Creative Arts Project (PCAP),5
3158,"Alexander, William (Buzz) -- ""Back Off""",5
22931,"Alexander, Richard D.",3
18959,"Aleksandrov, Vadim Aleksandrovich",3
18958,Aleko (Pushkin),2
36792,"Alcorn, James",2
21274,Alchemist (Jonson),2
28873,Alan Guttmacher Institute,3
392,Alabama,1
393,"Citronelle, Ala.",2
394,"Dothan, Ala.",2
395,"Foley, Ala.",2
6536,"Yamaoka, Akira",2
5104,Anna,1
7468,"Ainsworth, W. Harrison -- Jack Sheppard",5
26111,AFDC (Aid to Families with Dependent Children),7
43863,posthumanism,1
45671,"human, ideas of -- posthuman",4
6541,"Ahmed, Sara -- ""Orientations Matter""",4
45588,matter,1
10004,"Ahmed, Ahmed",2
9501,American Geographical Society,3
32645,"Agnos, Mayor Art",3
26657,Loss,1
26659,Loss -- Middlemarch,2
26658,Loss -- Marner,2
26660,Loss -- Freud on,3
26661,Loss -- and John Cross,4
26665,Loss -- and George Lewes,4
26664,Loss -- and Eliot's sister Chrissey,5
26663,Loss -- and Eliot's mother,4
26690,"Eliot, George, writings -- Romola",4
26467,Aggression -- Mill,2
26465,Aggression -- Marner,2
26471,Aggression -- Kohut on,3
26470,Aggression -- Kernberg on,3
26464,Aggression -- Felix,2
26462,Aggression -- Bowlby on,3
13986,"Bowlby, John",2
26469,Aggression -- and Eliot,3
26463,Aggression -- and characters in Bede,5
17739,"Krochmal, Nachman -- on aggadah",4
35353,"Gilmore, Grant",2
38765,"Ages of American Law, The (Gilmore)",6
17735,"Ages, Arnold",2
14586,Afro-centrism,2
33832,Afro-American Teacher's Forum,4
33831,Afro-American Teacher's Association,4
14585,African American -- studies,3
5537,Afrika Islam,2
5536,Afrika Bambaataa (hip-hop DJ),5
36188,Africology,1
43852,African diasporic cosmologies -- anti-racist implications of,7
43849,African diasporic cosmologies,3
42464,"African Americans -- poverty, post-WW II",6
44355,race -- African Americans conflated with nature,6
22310,African-American males,3
382,African Americans,2
17404,General Agreement on Tariffs and Trade (GATT),7
17299,City trade assemblies,3
32206,American Federation of Labor (AFL),5
42459,Affordable Care Act (ACA),4
33830,Affirmative action -- link to Black anti-Semitism,7
34461,Affirmative action -- in Clinton health care program,7
34462,Affirmative action -- Clinton's cabinet and,5
34460,Affirmative action -- Clinton and,4
39278,Reflections of an Affirmative Action Baby (Carter),7
15328,Affectlessness,1
42458,"AFDC (Aid to Families with Dependent Children) -- out-of-wedlock children, limits on",13
42457,AFDC (Aid to Families with Dependent Children) -- expansion of,9
14827,Aesthetics and Ideology (Levine),4
7466,aestheticism,1
8584,Aesthesis,1
9500,AdWords,1
30233,Advocate magazine,2
32205,Advertising Federation of America,4
9499,Advertisers,1
12507,Adulthood,1
12505,adultery,1
2879,"Ann Arbor, MI",3
767,Michigan.,1
347,television.,1
9711,Internet Protocol Television,3
2151,China Central Television (CCTV),4
4131,The Show,2
11944,Victoria Forest School (VFS),4
46084,Other -- culture as,3
62,culture(s),1
33110,"Adorno, Theodore",2
9999,Adorable Care Act,3
25301,Adoption of children,3
40170,"Adolescents, urban -- trials of",4
40162,Adolescents -- urban,2
31171,advertisements,1
26107,Admission to the legal bar -- discriminatory practices in South Carolina,10
17318,Compensatory relief against employer,4
17350,discrimination,1
13962,"Adler, Alfred",2
10425,LGB,1
17731,Abraham,1
46046,Abuse -- of others,3
29475,"Vulnerability, pornography and sexualization",4
7435,"Vygotsky, L. S.",3
6912,V-Tech (Village Tech High),5
7429,V-Tech (Village Tech High) -- principal at,7
6911,California -- continuation high school in,5
13932,Voter Research and Surveys,4
9465,"Walter, John",2
18087,Vorstellungen,1
15554,"""representation""",1
17742,Alexander the Great,3
30146,"Solzhenitsyn, Aleksandr",2
19422,Slavophilism Nerzhin -- Gleb (Solzhenitsyn),4
19548,Samsonov (Solzhenitsyn),2
19292,Kostoglotov (Solzhenitsyn),2
30150,"Solzhenitsyn, Aleksandr -- One Day in the Life of Ivan Denisovich",10
30147,"Solzhenitsyn, Aleksandr -- The Cancer Ward",5
